tupi,portugues_pred
"eîme'eng pindá ixébe","dá-me a minha ponta no quinto"
"aîpó e'ymeté, ko'arapukuî, pysaré nde maînanĩ nde 'anga resé-ne","""Sempre que eu estiver, hoje, vou segurar a tua mão e te dar a tua imagem"""
"i popebusu","a capital"
"aîkupyîurar","Eu estava deitado"
"a'e aé koba'e katu me'engara re'a","Eu disse que tinha que ser mais rápido que você"
"xe abangaíba","xe abangaíba"
"asé mopyatãgûama resé","Eu vou me juntar a você"
"o boîáramo pe rari","se ele forar a raí"
"aîekûarybykoî","Eu tinha uma doença"
"abápe aîpoba'e oîmonhang erimba'e?","Onde é que eu estava?"
"itá repoti","repoti da rocha"
"sasy nakó ygá-pukuîa","doença de garganta"
"i xupé îasûá oîeí eresapuká-pukaî","Não é fácil ter risos"
"t'obasem esapy'a o îukaûãme","se despejar em seu lugar"
"na mba'e 'u potá ruã aîur","na coisa 'u bom' para o meu"
"mokõî oîoirundyk oito 'ara sykeme, i 'apira mondoki","Os dois estão no meio do 'ara sykeme', e 'apira roboki"
"a'e suí turi oîkobeba'e omanõba'epûera pabẽ rekomonhangane","Eu sou suí turi há muitos mortos no pabê do comunhangane"
"ta sesãî kó pe retama","Que este seja o retama"
"xe ra'ysé","filho de xe"
"nd'a'é te'e nde ratãngatu resé gûiîekoka","Não quero que o seu coração se torne um pouco mais forte"
"tekokatu repenhandápe peîkóbo","se você estiver na sua posição"
"xe resaraî é gûitekóbo, n'aseîá-potá ruã!","O que é que você está fazendo, é que você está fazendo!"
"ereîpotápe îandy-karaíba pupé ixé nde pixyba?","Quer um cão de cavalo-caraíba que lhe dê um pouco de pixyba?"
"i mongu'ipyra","a minha mãe"
"ingapema bé peru!","Não é o Peru!"
"sekó omongaturõ îandé rekó-poxypûera","O que é que é uma doença de pele"
"tupã momburûareté tatá pupé nde resyri","Deus distante queima a tua face"
"asó py'i","pernas de cavalo"
"xe nambi-asyk","xe nambi-asyk"
"oré raûsubá îepé oré rekobé pukuî","que não se esqueça de ter uma longa carreira"
"tupã o aûsubaraûama resé onhemoapysyka","Deus ouve quando eu dou a luz"
"a'ytab","eu estou sentado"
"mondarõ, nhe'engaíba, mo'ema nde resemõ","roubar, não tocar, já te tocar"
"pirá mondóbo pá","dinheiro roubado"
"tó eẽ","você é"
"peîmo'ang ra'u xe ra'yrĩ gûé, peîmo'ang pe re'õ pupé pe ruba","amareis o filho do xe, amareis o rosto do pão do ruba"
"tupã amõ kunhãngatu monhangi","Deus em frente de monarca"
"og ugûy pupé xe reî","O seu filhote foi morto"
"i 'ekatûaba kotysaba é","""Coração de Jesus"""
"aîopi","Eu estava lá"
