tupi,portugues_pred,bleu
"Hei de levar todos para meu fogo, com seus amigos",A minha alma está em minha boca,0.0
Vê minha doença para que te compadeças de minha alma,Que o meu Senhor me dê o seu nome,0.0
Em terra não os fazendo transformar,O mar é o que faz com que ele se torne,0.0
Eu enviuvei,minha mulher,0.0
"Ah, se viesse!",A gente veio,0.0
o que proclama suas palavras,A sua boca está longe,0.0
Arranquei-lhe a casca,Eu sou o que é,0.0
desde minha vinda,Eu sou o que me faz cair,0.0
Aparei-o,Eu vou,0.0
Tinjo as pernas,Eu estou muito,0.0
