portugues,tupi_pred
"Dá anzóis para mim","xe-pûaîaîaîaîaîa"
"Sendo isso assim, o dia todo e a noite toda tu cuidarás de tua alma","nde resé, xe py'a-py'a nde resé nde resé nde resé"
"Ela é muito larga","i îaîba"
"Lacei-lhe as pernas","aîmoîaîa"
"É ele o que dá o bem desses","i îe'anga-mûaîa"
"Eu sou uma pessoa desprezível","xe îandéîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"para nosso encorajamento","nhane îandupyrã"
"Como seus discípulos receberam-vos","nde resé-pûeraîapó îeré"
"Fiz minas","aîmoîa"
"Quem fez isso outrora?","aîe'angape îaîmo?"
"ferrugem do ferro","ybyby"
"Eis que é penoso, certamente, remar canoa","i'e'y-y, i'e'y, i'y-y"
"Como que para ele ficaste gritando hoje","i îe'ypy nde resé îe'ypy"
"Que chegue logo ao lugar de o matarem","i îaîmoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Não querendo comer, venho","xe rekó-îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Ao chegar o dia oitavo , cortaram seu prepúcio","oîapé-pyrá, oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Daí virá para julgar todos os que vivem e os que morreram","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Que se alegre esta vossa terra","peîpe'aîpe'a nde retã"
"os parentes de minha mulher","xe rembireko sy"
"Por isso mesmo em tua grande força apóio-me","nde resé-pe xe moîaîbaîaîbaîaîbaî"
"Vivendo para ir ao encontro da virtude","aîe'oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Eu estava, mesmo, esquecendo, não que o quisesse omitir","xe xe apytá, xe apytá"
"Queres que eu te unte com óleo bento?","nde rereko'aîpe îe'õpe îe'õ?"
"o que é moído","i îaîba"
"Trazei também o tacape!","xe apópe xe apó!"
"Sua lei pôs ordem em nossa antiga vida má","i apó îandé îandé îandé îandé îandé"
"Verdadeiros amaldiçoadores de Deus no fogo te assaram","tupã-py'aîara îandé nde resé"
"Vou frequentemente","aîe'îaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîa"
"Eu tenho as orelhas cortadas","xe apysá-pyrá"
"Tem tu compaixão de nós durante nossa vida","i îandé îandé îandé îandé"
"Consolando-se com a compaixão de Deus","tupã-py'aîasûa-py'aîasûa"
"Nado","aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Ladroeira, palavras ruins, mentiras sobejavam-te","i moîasá, i moîasé, i moîasé nde resé"
"Levando os peixes todos","i'anga-katu"
"ah, sim! ah, já entendi!","ah, îe! ah, aîe'e!"
"Imaginai, ó meus filhinhos, imaginai que estais deitados em vossa morte","peîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Deus fez certa mulher bondosa","tupã i apó-marã"
"Com seu sangue me lavou","i rusu-pe xe moîasá"
"o que estava à sua direita","i apyté"
"Piquei-o","aîmoîî"
"Lançaste algum menino sobre ti por desejo sensual?","nde resé nde py'aîba-py nde py'aîba?"
"Fez-lhe perguntas de novo, mas não achando maldade alguma dele","aîe'i-aîe'i-aîe'i, n'aîe'i-aîe'i"
"Muito bem, eis que aqui estou, trazendo para ti estes siris","xeîaî, xe xeîaîaî, ndepe'aîaîba xe sirî"
"São muito molestos os tropeços de nossa caminhada","i asé i îaîmoîasé îaraîmoîasé"
"Dar atenção aos fatos futuros","aîe'ypy"
"Louvo-te muito por me teres salvado","nde resé nde resé"
"Importuna-me bem aquela lei nova","xe-pûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"outra coisa","i'anga"
"os que andam pelo caminho","xe rapé-pykûa"
"Em reparação disso, mudaste-te de aldeia","nde rereko'aîbaîaîba îe'anga"
"Dobrei-o","aîmoîaî"
"o que entra para junto de mim","xe rembe'ype"
"Digo novamente","aîe'îaî"
"para cá olhando furtivamente","aîpe'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Honra teu pai e tua mãe","nde sy îe îe'anga"
"Salve Rainha, nossa esperança","aîoîoîaîoîaîoîaîoîaîoîaîoîaîoîaîoîaîoîaîaîoîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Jazi atravessado na rede","jazi i apytá"
"Eu sou pequeno","xeîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîîî"
"Arei-o","aîaîaî"
"Diferenciando-a das outras mulheres","aîeîasé-aîasé"
"atrás de uma cerca feita de pedras","yby-py'a-py'a"
"Eu sou manchado","xe xe apé"
"Escondo-me bem estando deitado aqui","xe apytá-pykûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Fui defecar","aîaîaîaîaîaîa"
"Queimou tua alma o fogo dele, descendo","nde resé îapûara îapûara, îapûara"
"Quando fustigava o sol a terra, eu vim","xe yby-yûaîba îe'õpe, xe xe xeîaî"
"Estou acordando","aîe'îaîaîaîaîaîa"
"aljava de ferro","ybyby"
"Vós sois avaros com ele","peîpe'aîbaîba"
"meu pensamento","xe apytu'u"
"Não o deixo de querer","xe rembipotá"
"Tu és a manhã, causa verdadeira da alegria do dia","nde ko'ẽ, ko'ẽ py'aîba resé"
"Trespassaram suas mãos juntamente com seus pés, sobre a cruz pregando meu senhor","oîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"fruto dela","i abá"
"És parecido com um chamusco, ó coisa fedorenta!","nde ybybyby, xe mba'e i'a!"
"Trazendo algumas linhazinhas","i'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Aproximei-me de Guenum","xe gûenum"
"Eva, nossa mãe primeira, atraiu-se muito pelo belo fruto, de acordo com a palavra da serpente","éva, îarîmo'y, îaîmo'e'i i yby'a iporá, i serã i nhe'ẽpe"
"Pus entradas nele","aîe'õ"
"Enrolei o cipó no esteio","aîopûaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"Devem amar-se muito os que se casaram um com o outro?","oîe'îaîba'epe îe'îaîba'e'i oîe'îaîba'e'i?"
"Qual o teu nome de batismo que o padre pôs?","mba'e nde marãpópe abá-pe?"
"por ocasião de meu retorno","xe moîasé"
"Replico a Pero Aînhe'ẽ-poepyk Pero - Replico as palavras de Pero","aîe'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e'e"
"Dá também Deus neste mundo algumas coisas aos que são bons?","tupã îandé îandé îandé mba'e-pi'a i porandé?"
"Esses teus olhos volta em nossa direção","nde resé îaraîa îaraîa"
"vão oco de alguma coisa, o vazio do meio de alguma coisa","i'e'õpe i'e'õ, i'e'õpe i'e'õ"
"Eis que, como está no céu, Nosso Senhor está dentro do pão nas mãos do padre, com certeza","a'e, ybype'aîpe, îandé îandé îandé îandé abá, abá, îandé"
"Que ela nos destrua para que vivamos contigo","t'oîmoîandûera îandûera îandûera"
"A gente se inclina para os santos que estão no céu também?","îandé îandé îandé îandé îandé îandé îandé?"
"Ele se lembra","i îe'îaî"
"Suportando a escuridão, estamos muito aflitos","pytûa-py'aîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaîaî"
"margem de rio, beira do mar","yby'a-y"
