tupi,portugues_pred,bleu
Eu sou airoso,Eu sou,60.653065971263366
Eu sou pardo,Eu sou negro,55.03212081491043
Eu sou fedorento,Eu sou teu,55.03212081491043
Eu tenho diarréia,Eu tenho medo,55.03212081491043
Eu estou atolado,Eu estou deitado,55.03212081491043
Afasta-te!,Abre-o!,49.99999999999999
Não sei,Não pecar,49.99999999999999
Não pode alguém casar-se com seu parente verdadeiro?,Não pode alguém casar-se com alguém mesmo?,47.750342648354646
"Eu sou cristão, eu sou virtuoso","Eu sou cristão, meu pai",43.01250851313264
Não nos queremos bem,Não nos afaste,39.43223765116288
